code,xcoord,ycoord,perc_poverty,metro,pop_density,gdp_percapita,perc_secondary_compelte,income_gini,lab_perc_of_totpob,street_density_km,intersection_density_km,regularity,bet_cen_Gini,clo_cen_Gini,inf_cen_Gini,country
1997,-89.80245,33.77036,.242,1,2.98311188187387,3.53638781144815,.863,.5019,.526,2.36333701546796,1.74889670588335,-.713536201469045,.816427,.17609675,.14669561,2
4671,-80.3792,39.28539,.15,1,4.1594694845179,4.07290685587243,.91,.456,.573,3.59655521073038,3.72542230629233,-.726226226226226,.82074593,.14315992,.1328585,2
3268,-89.11726,32.7534,.221,1,2.99640458100468,3.44494272048462,.843,.4623,.617,2.46947362414198,1.36998648901988,-.7367639782286,.74025267,.16039017,.14359182,2
196,-105.78855,37.57251,.278,1,2.16245154798818,3.7065130334215,.919,.5118,.557,1.00714443278364,.528416301610719,-.493360572012257,.77340947,.18806296,.11281938,2
4682,-81.11023,37.40481,.214,1,4.04362898425761,3.24967985653822,.886,.457,.491,3.87659281548288,3.61506876738853,-.776016364101253,.83291199,.12392721,.15628456,2
1971,-88.94815,33.91983,.229,1,2.59389231887978,3.23441996039081,.827,.4866,.554,2.01401113034127,.986453437981682,-.6765625,.72043193,.11013126,.14592835,2
4676,-82.07018,38.17215,.249,2,2.94691628600114,2.49671436931284,.908,.4465,.469,2.49072272919067,1.17145132869179,-.883861236802413,.80408431,.09530819,.17745779,2
3233,-94.96969,46.58589,.15,1,2.29315665412656,3.56110430732941,.933,.4423,.572,2.09564690143452,.920130155710898,-.470634299138606,.7125199,.08746363,.18430976,2
3686,-101.34062,47.1153,.031,2,-.02834309648134,4.9792669759011,.956,.4955,.541,.745938916335296,.117031336629566,-.570776255707763,.67099078,.15059244,.21242617,2
247,-106.34089,40.66594,.128,1,-1.1412647950534,4.20178157222253,.922,.3958,.681,.5582905665115,.0717786004092203,-.79054054054054,.71165999,.17290175,.16208004,2
3935,-77.72158,39.92957,.104,2,4.33258554599905,3.54439234274031,.905,.3965,.633,3.4239336597021,2.85743988260805,-.711929824561404,.77929537,.12705402,.15798277,2
2588,-116.17747,34.8406,.182,2,3.69696932047483,3.6107790886843,.884,.4061,.685,.717920165089545,.945612660465384,-.545169295133406,.89206433,.13318814,.15473285,2
